2024-07-24T09:34:31.547Z [info] [proc] 명령 실행 중: "C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\CMake\CMake\bin\cmake.exe" --version
2024-07-24T10:07:07.761Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:07:11.109Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:07:18.270Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:07:35.629Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:07:58.032Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:07:59.775Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:03.668Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:11.699Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:14.800Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:19.214Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:22.541Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:29.580Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:31.520Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:36.922Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:40.088Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:43.837Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:49.034Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:53.288Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:08:55.032Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:07.343Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:09.194Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:13.142Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:14.604Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:20.666Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:27.067Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:36.877Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:37.011Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:09:59.293Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:10:01.698Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:10:02.057Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:33.026Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:36.660Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:38.286Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:41.156Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:43.839Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:46.739Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:50.077Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:51.536Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:11:59.374Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:12:08.260Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:18.347Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:21.708Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:25.938Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:28.648Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:30.118Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:32.297Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:38.553Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:39.957Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:43.298Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:44.484Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:50.452Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:54.214Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:16:57.510Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:04.794Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:09.550Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:13.212Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:20.551Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:22.395Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:28.110Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:32.006Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:37.249Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:40.382Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:43.065Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:46.299Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:48.386Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:51.973Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:17:58.938Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:00.563Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
