DEBUG [2024-08-02 12:46:25,705] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:46:25,894] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:25,896] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:25,897] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:46:00; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:46:25,905] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:46:25,981] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:25,982] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:25,983] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:46:00; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:46:25,991] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:46:25,998] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:25,999] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:25,999] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:46:00; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:46:26,009] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:46:26,026] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:26,027] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:26,028] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:46:00; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:3; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:46:26,040] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:46:26,040] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:26,041] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:26,042] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:46:00; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:3; SidebarWidth:210; SubtreeLinks:0
